"","Title","Journal","Year","text","Keywords","label"
"1","Path to Purpose? How Online Customer Journeys Differ for Hedonic Versus Utilitarian Purchases","Journal of Marketing",2020,"The authors examine consumers? information channel usage during the customer journey by employing a hedonic and utilitarian (H/U) perspective, an important categorization of consumption purpose. Taking a retailer-category viewpoint to measure the H/U characteristics of 20 product categories at 40 different retailers, this study combines large-scale secondary clickstream and primary survey data to offer actionable insights for retailers in a competitive landscape. The data reveal that, when making hedonic purchases (e.g., toys), consumers employ social media and on-site product pages as early as two weeks before the final purchase. By contrast, for utilitarian purchases (e.g., office supplies), consumers utilize third-party reviews up to two weeks before the final purchase and make relatively greater usage of search engines, deals, and competitors? product pages closer to the time of purchase. Importantly, channel usage is different for sessions in which no purchase is made, indicating that consumers? information channel choices vary significantly with the H/U characteristics of purchases. The article closes with an extensive discussion of the significant implications for managing customer touchpoints.","Text Mining",1
"2","Branding in a Hyperconnected World: Refocusing Theories and Rethinking Boundaries","Journal of Marketing",2020,"Technological advances have resulted in a hyperconnected world, requiring a reassessment of branding research from the perspectives of firms, consumers, and society. Brands are shifting away from single ownership to shared ownership, as heightened access to information and people is allowing more stakeholders to cocreate brand meanings and experiences alongside traditional brand owners and managers. Moreover, hyperconnectivity has allowed existing brands to expand their geographic reach and societal roles, while new types of branded entities (ideas, people, places, and organizational brands) are further stretching the branding space. To help establish a new branding paradigm that accounts for these changes, the authors address the following questions: (1) What are the roles and functions of brands?, (2) How is brand value (co)created?, and (3) How should brands be managed? Throughout the article, the authors also identify future research issues that require scholarly attention, with the aim of aligning branding theory and practice with the realities of a hyperconnected world.","Text Mining",1
"3","Is a Picture Worth a Thousand Words? An Empirical Study of Image Content and Social Media Engagement","Journal of Marketing Research",2020,"Are social media posts with pictures more popular than those without? Why do pictures with certain characteristics induce higher engagement than some other pictures? Using data sets of social media posts about major airlines and sport utility vehicle brands collected from Twitter and Instagram, the authors empirically examine the influence of image content on social media engagement. After accounting for selection bias on the inclusion of image content, the authors find a significant and robust positive mere presence effect of image content on user engagement in both product categories on Twitter. They also find that high-quality and professionally shot pictures consistently lead to higher engagement on both platforms for both product categories. However, the effect of colorfulness varies by product category, while the presence of human face and image?text fit can induce higher user engagement on Twitter but not on Instagram. These findings shed light on how to improve social media engagement using image content.","Text Mining",0
"4","Uniting the Tribes: Using Text for Marketing Insight","Journal of Marketing",2020,"Words are part of almost every marketplace interaction. Online reviews, customer service calls, press releases, marketing communications, and other interactions create a wealth of textual data. But how can marketers best use such data? This article provides an overview of automated textual analysis and details how it can be used to generate marketing insights. The authors discuss how text reflects qualities of the text producer (and the context in which the text was produced) and impacts the audience or text recipient. Next, they discuss how text can be a powerful tool both for prediction and for understanding (i.e., insights). Then, the authors overview methodologies and metrics used in text analysis, providing a set of guidelines and procedures. Finally, they further highlight some common metrics and challenges and discuss how researchers can address issues of internal and external validity. They conclude with a discussion of potential areas for future work. Along the way, the authors note how textual analysis can unite the tribes of marketing. While most marketing problems are interdisciplinary, the field is often fragmented. By involving skills and ideas from each of the subareas of marketing, text analysis has the potential to help unite the field with a common set of tools and approaches.","Text Mining",1
"5","Uniting the Tribes: Using Text for Marketing Insight","Journal of Marketing",2020,"Words are part of almost every marketplace interaction. Online reviews, customer service calls, press releases, marketing communications, and other interactions create a wealth of textual data. But how can marketers best use such data? This article provides an overview of automated textual analysis and details how it can be used to generate marketing insights. The authors discuss how text reflects qualities of the text producer (and the context in which the text was produced) and impacts the audience or text recipient. Next, they discuss how text can be a powerful tool both for prediction and for understanding (i.e., insights). Then, the authors overview methodologies and metrics used in text analysis, providing a set of guidelines and procedures. Finally, they further highlight some common metrics and challenges and discuss how researchers can address issues of internal and external validity. They conclude with a discussion of potential areas for future work. Along the way, the authors note how textual analysis can unite the tribes of marketing. While most marketing problems are interdisciplinary, the field is often fragmented. By involving skills and ideas from each of the subareas of marketing, text analysis has the potential to help unite the field with a common set of tools and approaches.","NLP",1
"6","Is a Picture Worth a Thousand Words? An Empirical Study of Image Content and Social Media Engagement","Journal of Marketing Research",2020,"Are social media posts with pictures more popular than those without? Why do pictures with certain characteristics induce higher engagement than some other pictures? Using data sets of social media posts about major airlines and sport utility vehicle brands collected from Twitter and Instagram, the authors empirically examine the influence of image content on social media engagement. After accounting for selection bias on the inclusion of image content, the authors find a significant and robust positive mere presence effect of image content on user engagement in both product categories on Twitter. They also find that high-quality and professionally shot pictures consistently lead to higher engagement on both platforms for both product categories. However, the effect of colorfulness varies by product category, while the presence of human face and image?text fit can induce higher user engagement on Twitter but not on Instagram. These findings shed light on how to improve social media engagement using image content.","UGC",0
"7","Do Spoilers Really Spoil? Using Topic Modeling to Measure the Effect of Spoiler Reviews on Box Office Revenue","Journal of Marketing",2020,"A sizable portion of online movie reviews contain spoilers, defined as information that prematurely resolves plot uncertainty. In this research, the authors study the consequences of spoiler reviews using data on box office revenue and online word of mouth for movies released in the United States. To capture the degree of information in spoiler review text that reduces plot uncertainty, the authors propose a spoiler intensity metric and measure it using a correlated topic model. Using a dynamic panel model with movie fixed effects and instrumental variables, the authors find a significant and positive relationship between spoiler intensity and box office revenue with an elasticity of .06. The positive effect of spoiler intensity is greater for movies with a limited release, smaller advertising spending, and moderate user ratings, and is stronger in the earlier days after the movie?s release. Using an event study and online experiments, the authors provide further evidence that spoiler reviews can help consumers reduce their uncertainty about the quality of movies, consequently encouraging theater visits. Thus, movie studios may benefit from consumers? access to plot-intense reviews and should actively monitor the content of spoiler reviews to better forecast box office performance.","topic model",1
"8","Advertising Effectiveness for Multiple Retailer-Brands in a Multimedia and Multichannel Environment","Journal of Marketing Research",2020,"An important aspect of multimedia advertising effectiveness that remains unexplored is a customer-level analysis of the relative importance of each medium for multiple retailer-brands within a product category. The increasing availability of customer databases for parent companies containing multimedia ad exposures, sales transactions in several purchase channels, and information across multiple retailer-brands now allows for a broader examination of advertising effectiveness. In this research, the authors monitor 4,000 customers over two years, linking their exposure to three media (email, catalogs, and paid search) to their in-store and online purchases for three retailer-brands in the clothing category. They develop a Tobit model for sales response to multimedia advertising that captures within-brand and within-channel correlations and accommodates individual-level advertising response parameters. Due to the very large number of observations (2.4 million) and random effects (60), the authors employ an emerging machine learning technique, variational Bayes, to estimate the model parameters. They find that email and sometimes catalogs from a focal retailer-brand have a negative influence on other retailer-brands in the category, whereas paid search influences only the focal retailer-brand. However, competitor catalogs often positively influence focal retailer-brand sales, but only among omnichannel customers. They segment customers by retailer-brand and channel usage, revealing a sizeable group of customers who shop across multiple retailer-brands and both purchase channels. Moreover, this segment is the most responsive to multimedia advertising.","topic model",0
"9","Full Disclosure: How Smartphones Enhance Consumer Self-Disclosure","Journal of Marketing",2020,"Results from three large-scale field studies and two controlled experiments show that consumers tend to be more self-disclosing when generating content on their smartphone versus personal computer. This tendency is found in a wide range of domains including social media posts, online restaurant reviews, open-ended survey responses, and compliance with requests for personal information in web advertisements. The authors show that this increased willingness to self-disclose on one?s smartphone arises from the psychological effects of two distinguishing properties of the device: (1) feelings of comfort that many associate with their smartphone and (2) a tendency to narrowly focus attention on the disclosure task at hand due to the relative difficulty of generating content on the smaller device. The enhancing effect of smartphones on self-disclosure yields several important marketing implications, including the creation of content that is perceived as more persuasive by outside readers. The authors explore implications for how these findings can be strategically leveraged by managers, including how they may generalize to other emerging technologies.","topic model",1
"10","Modeling Dynamic Heterogeneity Using Gaussian Processes","Journal of Marketing Research",2020,"Marketing research relies on individual-level estimates to understand the rich heterogeneity of consumers, firms, and products. While much of the literature focuses on capturing static cross-sectional heterogeneity, little research has been done on modeling dynamic heterogeneity, or the heterogeneous evolution of individual-level model parameters. In this work, the authors propose a novel framework for capturing the dynamics of heterogeneity, using individual-level, latent, Bayesian nonparametric Gaussian processes. Similar to standard heterogeneity specifications, this Gaussian process dynamic heterogeneity (GPDH) specification models individual-level parameters as flexible variations around population-level trends, allowing for sharing of statistical information both across individuals and within individuals over time. This hierarchical structure provides precise individual-level insights regarding parameter dynamics. The authors show that GPDH nests existing heterogeneity specifications and that not flexibly capturing individual-level dynamics may result in biased parameter estimates. Substantively, they apply GPDH to understand preference dynamics and to model the evolution of online reviews. Across both applications, they find robust evidence of dynamic heterogeneity and illustrate GPDH?s rich managerial insights, with implications for targeting, pricing, and market structure analysis.","topic model",0
