title,journal,year,text,label
"Marketing Renaissance: Opportunities and Imperatives for Improving Marketing Thought, Practice, and Infrastructure",Journal of Marketing,2005,"My three-year term as editor of Journal of Marketing concludes with the October 2005 issue. On the basis of my interactions with various people in the marketing community, I believe that marketing science and practice are in transition, bringing change to the content and boundaries of the discipline. Thus, I invited some distinguished scholars to contribute short essays on the current challenges, opportunities, and imperatives for improving marketing thought and practice.Each author chose his or her topic and themes. However, in a collegial process, the authors read and commented on one another's essays, after which each author had an opportunity to revise his or her essay. The result is a thoughtful and constructive set of essays that are related to one another in interesting ways and that should be read together. I have grouped the essays as follows:?What is the domain of marketing? This question is addressed in four essays by Stephen W. Brown, Frederick E. Webster Jr., Jan-Benedict E.M. Steenkamp, and William L. Wilkie.?How has the marketing landscape (i.e., content) changed? This question is addressed in two essays, one coauthored by Jagdish N. Sheth and Rajendra S. Sisodia and the other by Roger A. Kerin.?How should marketing academics engage in research, teaching, and professional activities? This question is addressed in five essays by Debbie MacInnis; Leigh McAlister; Jagmohan S. Raju; Ronald J. Bauerly, Don T. Johnson, and Mandeep Singh; and Richard Staelin.Another interesting way to think about the essays, as Jan-Benedict E.M. Steenkamp suggests, is to group the essays according to whether they address issues of content, publishing, or impact (see Table 1).These 11 essays strike a common theme: They urge marketers?both scientists and practitioners?to expand their horizontal vision. What do I mean by horizontal vision? In The Great Influenza, Barry (2004) describes the enormous strides that were made in medical science early in the twentieth century. His depiction of William Welch, an extremely influential scientist who did not (as a laboratory researcher) generate important findings, includes a characterization of the ?genius? that produces major scientific achievements.The research he did was first-rate. But it was only first-rate?thorough, rounded, and even irrefutable, but not deep enough or provocative enough or profound enough to set himself or others down new paths, to show the world in a new way, to make sense out of great mysteries?. To do this requires a certain kind of genius, one that probes vertically and sees horizontally. Horizontal vision allows someone to assimilate and weave together seemingly unconnected bits of information. It allows an investigator to see what others do not see and to make leaps of connectivity and creativity. Probing vertically, going deeper and deeper into something, creates new information. (p. 60)At my request, each author has provided thoughtful and concrete suggestions for how marketing academics and practitioners, both individually and collectively (through our institutions), can work to improve our field. Many of their suggestions urge people and institutions to expand their horizontal vision and make connections, thereby fulfilling their potential to advance the science and practice of marketing. In his essay, Richard Staelin writes (p. 22), ?I believe that it is possible to influence directly the generation and adoption of new ideas.? I agree. I ask the reader to think about the ideas in these essays and to act on them. Through our actions, we shape our future.?Ruth N. Bolton",0
Erratum,Journal of Marketing Research,2016,"White, Katherine, Lily Lin, Darren W. Dahl, and Robin J. B. Ritchie (2016), ?When Do Consumers Avoid Imperfections? Superficial Packaging Damage as a Contamination Cue,? Journal of Marketing Research, 53 (February), 110?23. (Original DOI: 10.1509/jmr.12.0388)The following reporting errors have been noted in this article. These errors were clerical only, and the changes do not affect the data patterns or significance of the results in any way.Study 1, page 113The numerator degrees of freedom for the interaction should be 2. At the end of the last full paragraph, the text should read: ?The interaction qualified a significant main effect for type of package damage (F(2, 139) = 4.90, p < .05) and a marginal main effect for cognitive load (F(1, 139) = 3.36, p < .07).?Study 2, page 115The degrees of freedom should be 130. The text should read: ?Results revealed a main effect for packaging damage (t(130) = 5.49, p < .001; b = ?.561) and the anticipated three-way interaction (t(130) = 2.24, p < .03; b = ?.286; see Figureÿ2).?Study 4, page 116The numerator degrees of freedom was omitted in one sentence. The text should read: ?As we predicted, packaging appearance predicted both contamination perceptions (F(2, 150) = 4.17, p < .05) and health and safety concerns (F(2, 150) = 3.41, p < .05; see Tableÿ1).?Study 5, page 118The initial sample size is 200 participants. The text should say: ?Those who failed to properly complete the cognitive load task were removed from the analyses (9.5% of the sample, leaving 181 participants).?",1
The Value Relevance of Brand Attitude in High-Technology Markets,Journal of Marketing Research,2001,"The authors assess the extent to which brand attitude, a key component of brand equity, has value relevance?that is, helps predict future earnings and thus firm value?in high-technology markets. Using data for firms in the computer industries, the authors find that changes in brand attitude are associated contemporaneously with stock return and lead accounting financial performance. The study also provides insights into the drivers of brand attitude. The authors find that both product attributes and peripheral cues shape brand attitudes in high-technology markets.",1
Understanding Regulatory Fit,Journal of Marketing Research,2006,"The authors focus on three critical areas of future research on regulatory fit. First, they focus on how regulatory orientation is sustained. The authors argue that there are two distinct approaches that bring about the ?just-right feeling?: (1) a process-based approach that involves the interaction between regulatory orientation and decision-making processes and (2) an outcome-based approach that involves the interaction between regulatory orientation and the framed outcomes offered. Second, the authors discuss possible boundary conditions of regulatory fit effects, highlighting the apparent paradoxical role of involvement. They suggest that the antecedents that give rise to regulatory fit (e.g., lowered motivation) can differ from its consequences (e.g., increased motivation). Third, the authors discuss broader implications of regulatory fit, proposing three possible mechanisms by which regulatory fit can lead to improved physical health and discussing the degree to which the just-right feeling plays a role in goal-sustaining experiences related to subjective well-being (e.g., flow).",1
Competitive Response to Radical Product Innovations,Journal of Marketing,2008,"Radical product innovations are often agents of creative destruction. They threaten to destroy existing market positions, and yet they often yield vast new market opportunities. This article examines how competitors respond to the introduction of radical product innovations. The authors argue that competitive response to radical product innovations is inherently different from response to the incremental innovations that are typically studied in existing research. They introduce the dual concepts of market expansion and entry thresholds to develop new hypotheses about competitive response. Some of these hypotheses contradict prior literature. Using objective data from the U.S. pharmaceutical industry between 1997 and 2001, they estimate a shared-frailty hazard model to explain the competitive response to radical product innovations. The results show that the likelihood of competitive response is substantially higher when the introducing firm is large or market dependent. Moreover, the response is highest when the innovation is introduced in a small market by a large firm. These results contradict those from much prior research on competitive response to product innovation.",0
When Does Partitioned Pricing Lead to More Favorable Consumer Preferences?: Meta-Analytic Evidence,Journal of Marketing Research,2018,"Evidence of the impact of partitioned pricing is contradictory. Research indicates that partitioning a price into multiple components can result in more favorable preferences, due to a lower recalled price, or less favorable preferences, due to unfavorable surcharge evaluations. To explain these divergent effects, the authors examine the role of price presentation moderators, which reflect how managers convey prices to consumers (e.g., Is the total price present or absent?), magnitude moderators, which reflect the actual prices charged (e.g., What is the surcharge magnitude?), and contextual moderators, which reflect nonprice transaction characteristics (e.g., Is the product category hedonic or utilitarian?). A meta-analysis of 17 years of partitioned pricing research examining 149 observations in 27 papers (N = 12,878) suggests that consumers respond more favorably to partitioned pricing than to all-inclusive pricing when the total price is absent, as the price level increases, when the surcharges are typical for the product category, when the surcharges are perceived as offering high benefit, and when the product category is utilitarian.",1
Parameter Bias from Unobserved Effects in the Multinomial Logit Model of Consumer Choice,Journal of Marketing Research,2000,"Over the past two decades, validation of choice models has focused on predictive validity rather than parameter bias. In real-world validation of choice models, true parameter values are unknown, so examination of parameter bias is not possible. In contrast, the main focus of this study is parameter bias in simulated scanner-panel choice data with known parameter values. Study of parameter bias enables the assessment of a fundamental issue not addressed in the choice modeling literature?the extent to which the logit choice model is capable of distinguishing unobserved effects that give rise to persistence in observed choices (e.g., heterogeneity and state dependence). Although econometric theory provides some information about the causes of bias, the extent of such bias in typical scanner data applications remains unclear. The authors present an extensive simulation study that provides information on the extent of bias resulting from the misspecification of four unobserved effects that receive frequent attention in the literature?choice set effects, heterogeneity in preferences and market response, state dependence, and serial correlation. The authors outline implications for model builders and managers. In general, the potential for parameter bias in choice model applications appears to be high. Overall, a logit model with choice set effects and the Guadagni?Little loyalty variable produces the most valid parameter estimates.",1
Fear of Detection and Efficacy of Prevention: Using Construal Level to Encourage Health Behaviors,Journal of Marketing Research,2020,"This research examines the psychological processes and factors that shape illness-detection versus illness-prevention health actions. Four experiments using contexts of mental health, skin cancer, and breast cancer show that illness detection evokes fear, which undermines engagement in detection behaviors. Considering detection at low (vs. high) levels of thought reduced fear and increased health persuasion. Illness prevention is driven by self-efficacy perceptions and considering prevention at high (vs. low) levels of thought increases persuasion. In further evidence of process, trait fear moderated the detection effects, and dispositional self-efficacy moderated the prevention effects. As an intervention, framing a detection action as serving illness-prevention goals increased people?s likelihood of engaging with an online breast cancer detection tool. These findings illuminate the psychology of detection as being distinct from the psychology of prevention, identify the role of fear in the consideration of health behaviors, and show contexts in which construal levels have divergent effects on health persuasion.",1
The Impact of Relative Standards on the Propensity to Disclose,Journal of Marketing Research,2012,"Two sets of studies illustrate the comparative nature of disclosure behavior. The first set investigates how divulgence is affected by signals about others' readiness to divulge and shows a ?herding? effect: Survey respondents are more willing to divulge sensitive information when told that previous respondents have made sensitive disclosures (Study 1a). The authors provide evidence of the process underlying this effect and rule out alternative explanations by showing that information on others' propensity to disclose affects respondents' discomfort associated with divulgence (Study 1b) but not their interpretation of the questions (Study 1c). The second set of studies investigates how divulgence is affected by the order in which inquiries of varying intrusiveness are made and suggests that divulgence is anchored by the initial questions in a survey. People are particularly likely to divulge when questions are presented in decreasing order of intrusiveness and less likely when questions are presented in increasing order (Study 2a). The authors show that the effect arises by affecting people's judgments of the intrusiveness of the inquiries (Study 2b). The effect is altered when, at the outset of the study, privacy concerns are primed (Study 2c) and when respondents are made to consider the relative intrusiveness of a different set of questions (Study 2d). This research helps illuminate how consumers' propensity to disclose is affected by continual streams of requests for personal information and by the equally unavoidable barrage of personal information about others.",1
Conscious and Nonconscious Comparisons with Price Anchors: Effects on Willingness to Pay for Related and Unrelated Products,Journal of Marketing Research,2011,"Exposing consumers to extreme prices can influence the price they are willing to pay for both related and unrelated products. Drawing on previous theories of anchoring and adjustment and selective accessibility of judgment-relevant knowledge, the authors provide an account of both asymmetries in the impact of price anchors across product categories and contingencies in the occurrence of these asymmetries. Four studies show the deliberate consideration of price anchors that can play a key role in whether the effect of the anchors will generalize across product categories. Specifically, an explicit comparison of a product to a price anchor increases the accessibility of features that represent a product available at this price. In turn, these thoughts influence the price that consumers are willing to pay for these products. In the absence of this deliberation, however, anchors influence both related and unrelated products, provided no other cognitive activity occurs in the interim.",1
